Сектор,Год,Зарплата,CPI,Реальная зарплата
транспорт,2000,3220.2,20.2,15941.584158415842
образование,2000,1240.2,20.2,6139.60396039604
здравоохранение,2000,1333.3,20.2,6600.495049504951
транспорт,2001,4304.2,18.58,23165.76964477933
образование,2001,1833.0,18.58,9865.446716899893
здравоохранение,2001,1959.9,18.58,10548.43918191604
транспорт,2002,5851.5,15.06,38854.58167330677
образование,2002,2927.3,15.06,19437.58300132802
здравоохранение,2002,3141.3,15.06,20858.56573705179
транспорт,2003,7471.3,11.99,62312.76063386155
образование,2003,3386.6,11.99,28245.204336947452
здравоохранение,2003,3662.6,11.99,30547.12260216847
транспорт,2004,9319.9,11.74,79385.86030664394
образование,2004,4203.4,11.74,35804.08858603066
здравоохранение,2004,4612.0,11.74,39284.49744463373
транспорт,2005,11351.1,10.91,104043.07974335473
образование,2005,5429.7,10.91,49768.10265811182
здравоохранение,2005,5905.6,10.91,54130.15582034831
транспорт,2006,13389.9,9.0,148776.66666666666
образование,2006,6983.3,9.0,77592.22222222223
здравоохранение,2006,8059.9,9.0,89554.44444444444
транспорт,2007,16452.3,11.87,138604.04380791914
образование,2007,8778.3,11.87,73953.6647009267
здравоохранение,2007,10036.6,11.87,84554.33866891325
транспорт,2008,20760.8,13.28,156331.3253012048
образование,2008,11316.8,13.28,85216.86746987951
здравоохранение,2008,13048.6,13.28,98257.53012048193
транспорт,2009,22400.5,8.8,254551.13636363632
образование,2009,13293.6,8.8,151063.63636363635
здравоохранение,2009,14819.5,8.8,168403.4090909091
транспорт,2010,25589.9,8.78,291456.71981776773
образование,2010,14075.2,8.78,160309.79498861052
здравоохранение,2010,15723.8,8.78,179086.5603644647
транспорт,2011,28608.5,6.1,468991.8032786885
образование,2011,15809.1,6.1,259165.5737704918
здравоохранение,2011,17544.5,6.1,287614.75409836066
транспорт,2012,31444.1,6.58,477873.8601823708
образование,2012,18995.3,6.58,288682.3708206687
здравоохранение,2012,20640.7,6.58,313688.44984802435
транспорт,2013,34575.7,6.45,536057.3643410852
образование,2013,23457.9,6.45,363688.37209302327
здравоохранение,2013,24438.6,6.45,378893.0232558139
транспорт,2014,37011.0,11.36,325801.05633802817
образование,2014,25862.0,11.36,227658.45070422537
здравоохранение,2014,27068.0,11.36,238274.64788732395
транспорт,2015,38982.0,12.91,301951.9752130132
образование,2015,26928.0,12.91,208582.49419054997
здравоохранение,2015,28179.0,12.91,218272.65685515106
транспорт,2016,41510.0,5.38,771561.3382899628
образование,2016,28088.0,5.38,522081.7843866171
здравоохранение,2016,29742.0,5.38,552825.2788104089
транспорт,2017,43966.8,2.52,1744714.285714286
образование,2017,30257.6,2.52,1200698.4126984125
здравоохранение,2017,31980.3,2.52,1269059.5238095238
транспорт,2018,47474.0,4.27,1111803.2786885246
образование,2018,34361.0,4.27,804707.2599531617
здравоохранение,2018,40027.0,4.27,937400.4683840751
транспорт,2019,51160.2,3.05,1677383.606557377
образование,2019,37071.9,3.05,1215472.131147541
здравоохранение,2019,43122.1,3.05,1413839.3442622952
транспорт,2020,52939.0,4.91,1078187.3727087576
образование,2020,39563.0,4.91,805763.747454175
здравоохранение,2020,49532.0,4.91,1008798.3706720977
транспорт,2021,58391.3,8.39,695963.0512514899
образование,2021,43390.5,8.39,517169.24910607864
здравоохранение,2021,50690.1,8.39,604172.8247914183
транспорт,2022,66925.5,11.92,561455.5369127517
образование,2022,48400.2,11.92,406041.9463087248
здравоохранение,2022,55419.6,11.92,464929.53020134225
транспорт,2023,76223.3,7.42,1027268.1940700809
образование,2023,54314.8,7.42,732005.3908355795
здравоохранение,2023,61651.1,7.42,830877.358490566
транспорт,2024,90120.3,9.51,947637.2239747634
образование,2024,62914.6,9.51,661562.5657202944
здравоохранение,2024,71735.1,9.51,754312.3028391168
